custom_id,task_name,how,slug,category_name,named_source,source_real,votes,confidence
cn-all-remaining-0025-ed678805,球罐设计变更修订——湿硫化氢工况材质替代,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,yes,2/3,0.4
cn-all-remaining-0027-bfeb6744,球罐强度校核计算书复现——球罐开孔补强与支柱强度校核,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,yes,2/3,0.4
cn-all-remaining-0028-a77c10ac,面向用户的围棋对战客户端与基于 MCTS 的简单人机模式开发,分类,game-development,Game Development Software,,no,3/3,0.4
cn-all-remaining-0029-e2d81865,样品结构鉴定（NMR）,分类,lims,LIMS Software,,yes,2/3,0.45
cn-all-remaining-0033-aca86d82,垂直 DAS 微震震源入射路径校正,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,yes,2/3,0.42
cn-all-remaining-0035-880f8bef,国内与国际危险品运输规则协同分析,分类,trade-compliance,Trade Compliance,,yes,2/3,0.42
cn-all-remaining-0036-45b77900,短跑起跑后第一步外部推进与第二至第三步衔接的双向闭合、分组反证与跨扰动迁移分析,分类,x-motion-capture-biomechanics-lab,Motion Capture / Biomechanics Lab Software — 动捕采集与肌骨建模工作流,,yes,3/3,0.58
cn-all-remaining-0037-7d5ccda9,预制钢筋可拼接下料模拟退火算法设计与生产方案导出,分类,production-management,Production Management Software,,yes,2/3,0.43
cn-all-remaining-0038-0e6dcacf,明挖基坑有无加固工况数值模拟分析,分类,civil-engineering-design,Civil Engineering Design Software,,unsure,3/3,0.47
cn-all-remaining-0039-eaf07265,面向无人机蜂群对抗的智能任务分配算法设计与实现,分类,robotic-simulation-software,Robotic Simulation Software,,unsure,3/3,0.4
cn-all-remaining-0040-333737ca,二维井间地震首波走时层析成像与异常体恢复,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,3/3,0.75
cn-all-remaining-0042-7d1cdb25,游戏模型资产贴图过暗渲染修复,分类,game-development,Game Development Software,,yes,2/3,0.5
cn-all-remaining-0043-bf5fc64f,2023—2025 中国宠物食品行业、竞品与小红书营销研究,分类,market-research-services,Market Research Companies,,yes,2/3,0.55
cn-all-remaining-0044-cf1dd46c,服务小程序适老化无障碍验收,分类,digital-accessibility-tools,Digital Accessibility Tools,,yes,2/3,0.57
cn-all-remaining-0045-5cf73d18,球罐设计文件校审与图纸修正,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,yes,3/3,0.75
cn-all-remaining-0047-0ba8b32b,STM32F407 TR500 移动机器人全链路控制可靠性升级、自动化验证与可追溯交付,分类,version-control-hosting,Version Control Hosting Software,,yes,1/3,0.5
cn-all-remaining-0048-20a1803f,Intel RealSense D455 RGB-D 三维目标感知系统可靠性升级、离线部署与自动化验收交付,分类,version-control-hosting,Version Control Hosting Software,,yes,1/3,0.47
cn-all-remaining-0049-81912daf,球罐管口方位布置图绘制,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,yes,3/3,0.77
cn-all-remaining-0050-80528855,PBPK/CYP3A4药物相互作用风险评估,分类,drug-discovery,Drug Discovery Software,,yes,3/3,0.7
cn-all-remaining-0051-337ba9a8,面向用户的五子棋对战客户端与基于 MCTS 的简单人机模式开发,分类,game-development,Game Development Software,,no,3/3,0.63
cn-all-remaining-0052-d91396d1,外科术前二维 CT 分割与规划训练 Web 工具开发,分类,medical-simulation,Medical Simulation Software,,no,2/3,0.53
cn-all-remaining-0053-cd373ca4,开发可验证的傅里叶变换与 FFT 交互式教学平台,分类,study-tools,Study Tools,,no,3/3,0.52
cn-all-remaining-0054-e21dc9ca,基于 HTML5 Canvas 的像素风坦克大战双人及人机对战客户端开发,分类,game-development,Game Development Software,,no,3/3,0.65
cn-all-remaining-0056-f8c86a19,构建面向物理学家的牛顿迭代物理方程交互求解平台,分类,study-tools,Study Tools,,no,3/3,0.52
cn-all-remaining-0057-9784d630,二维平面连杆机构参数化设计与运动学仿真 GUI 工具开发,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,unsure,3/3,0.5
cn-all-remaining-0058-784b7023,面向计算材料物理的 CGCNN 晶体图数据管线复现,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.67
cn-all-remaining-0059-07202c4b,面向材料性质预测的 CGCNN 门控图卷积网络复现,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,no,2/3,0.5
cn-all-remaining-0060-4916f260,CGCNN 材料性质回归与分类训练评估流程复现,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.6
cn-all-remaining-0061-17f616d5,CGCNN 预训练材料性质推理与论文复现边界审计,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.57
cn-all-remaining-0062-2b5e3ba2,面向凝聚态物理的 D3REAM 全空间晶体描述符与周期晶体图复现,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.57
cn-all-remaining-0065-5018d030,雪崩 DAS 光缆布设技术评估与试验施工方案,分类,civil-engineering-design,Civil Engineering Design Software,,yes,1/3,0.47
cn-all-remaining-0066-a535bec7,测井数据处理自动化,分类,geology-and-seismic,Geology and Seismic Software,,yes,1/3,0.57
cn-all-remaining-0067-37577e9e,不同到时差计算方法评估,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,unsure,3/3,0.48
cn-all-remaining-0068-c81cc32b,Adult Census 表格数据质量审计,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,2/3,0.91
cn-all-remaining-0069-0fc51497,团队 PRD 标准化模板及示范文档制作,分类,product-management-software,Product Management Software,,yes,3/3,0.5
cn-all-remaining-0070-65ebea1e,Steam 英文游戏名到国区官方中文名批量匹配与审核工具,分类,game-localization,Game Localization Services,,yes,3/3,0.57
cn-all-remaining-0075-d8b42022,AG News 新闻主题文本分类管道,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,3/3,0.9
cn-all-remaining-0077-add9ca23,园区道路竣工图缺失横断面与土方表补全,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.77
cn-all-remaining-0078-cda23730,园区道路纵断设计成果恢复与逐桩高程复核,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.77
cn-all-remaining-0080-d714b92f,现场组焊焊接接头编号布置图与检测、硬度部位图,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,yes,3/3,0.6
cn-all-remaining-0081-ba5b245c,story_to_animation_video,分类,ai-video-generators,AI Video Generators,,no,2/3,0.5
cn-all-remaining-0082-9d63781f,面向凝聚态物理结构预测后处理的 AIRSS ​cryan -v​ 加权距离谱描述符复现,分类,x-atomistic-simulation-package,Atomistic / Molecular Simulation Package — 分子动力学与第一性原理计算,,yes,2/3,0.63
cn-all-remaining-0083-33708ca2,固态离子输运冻结骨架势能面网格采样程序复现,分类,x-atomistic-simulation-package,Atomistic / Molecular Simulation Package — 分子动力学与第一性原理计算,,yes,3/3,0.67
cn-all-remaining-0084-e75d9c48,固态离子迁移 level map 与最小渗流能拓扑求解器复现,分类,x-atomistic-simulation-package,Atomistic / Molecular Simulation Package — 分子动力学与第一性原理计算,,yes,3/3,0.58
cn-all-remaining-0085-0e8a8102,固态离子导体 PES fingerprint 自由体积与 Xi 描述符程序复现,分类,x-atomistic-simulation-package,Atomistic / Molecular Simulation Package — 分子动力学与第一性原理计算,,yes,3/3,0.57
cn-all-remaining-0086-8ee22d44,面向超硬材料筛选的 VASPKIT 弹性应变与维氏硬度评估程序实现,分类,x-atomistic-simulation-package,Atomistic / Molecular Simulation Package — 分子动力学与第一性原理计算,,yes,3/3,0.55
cn-all-remaining-0087-92e43f22,基于 D3REAM 思路的 BCN 超硬材料维氏硬度逆向设计程序,分类,x-atomistic-simulation-package,Atomistic / Molecular Simulation Package — 分子动力学与第一性原理计算,,yes,2/3,0.52
cn-all-remaining-0088-743e1e5d,沿井速度建模算法复现及评估,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,2/3,0.58
cn-all-remaining-0089-ab3b3a3c,精密轴尺寸 SPC、过程能力与异常事件关联分析,分类,quality-management-qms,Quality Management Systems (QMS),,yes,3/3,0.63
cn-all-remaining-0090-ab9a3d0b,中国电动汽车企业进入英国市场行业研究,分类,market-research-services,Market Research Companies,,yes,3/3,0.45
cn-all-remaining-0091-2ce46b58,UE 关卡资源引用清理工具开发,分类,game-engine,Game Engine Software,,yes,2/3,0.53
cn-all-remaining-0092-5dd2fd62,开发ue5使用的Perforce 资源提交前置校验工具,分类,version-control-software,Version Control Software,,yes,3/3,0.58
cn-all-remaining-0093-c2a8c48f,基于现有 STM32H743/X-CUBE-AI 工程的被动声识别错误修复与封存测试验收,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,1/3,0.48
cn-all-remaining-0100-af640a96,面向计算材料物理的 MEGNet 晶体图转换与巨图批处理复现,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.5
cn-all-remaining-0101-a74eea92,面向计算材料物理的 MEGNet 图网络层与 Set2Set 读出复现,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.4
cn-all-remaining-0102-7061cb48,面向计算材料物理的 MEGNetModel 训练、预测与序列化复现,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.53
cn-all-remaining-0103-2b1a2190,面向计算材料物理的 MEGNet 预训练推理与论文复现边界审计,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.63
cn-all-remaining-0104-ae919772,基于 MatterSim与D3REAM 的 BCNO 超硬材料维氏硬度逆向设计程序,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.58
cn-all-remaining-0105-5db0f5ee,基于 MACE 势函数集成的碳超硬材料维氏硬度逆向设计程序,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.58
cn-all-remaining-0106-e68c357a,基于 MACE 势函数集成的高体模量碳材料逆向设计程序,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.58
cn-all-remaining-0107-1b8e5538,基于 MACE 势函数集成的高剪切模量碳材料逆向设计程序,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.58
cn-all-remaining-0108-bf384f35,基于 MACE 势函数集成的高杨氏模量碳材料逆向设计程序,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,3/3,0.58
cn-all-remaining-0109-4cb28698,SQLite 数据库事务提交修复与账户余额统计,分类,relational-databases,Relational Databases,,no,2/3,0.53
cn-all-remaining-0111-21b42612,M3GNet 径向与三体基函数数值模块复现,分类,x-atomistic-simulation-package,Atomistic / Molecular Simulation Package — 分子动力学与第一性原理计算,,no,3/3,0.53
cn-all-remaining-0113-7d680a14,人形机器人一体化线性执行器（反转式行星滚柱丝杠构型）结构设计与多物理场校核任务,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,yes,3/3,0.63
cn-all-remaining-0114-a85885be,中国微水洗澡机行业研究与商业化方案,分类,market-research-services,Market Research Companies,,no,3/3,0.43
cn-all-remaining-0115-4e5886bd,多视图图像拼接、质量评估与批处理验收工具,分类,photogrammetry,Photogrammetry Software,,yes,3/3,0.4
cn-all-remaining-0116-1362f053,高级视频车道线检测、时序稳定与质量评估系统,分类,version-control-hosting,Version Control Hosting Software,,yes,3/3,0.57
cn-all-remaining-0118-3dc7cdd7,井下 DAS 波场可视化与 P/S 波拾取交互校核工具,分类,x-seismic-processing-workstation,Seismic Interpretation / Processing Workstation — 道集处理与解释,,yes,2/3,0.5
cn-all-remaining-0121-037801b0,垂直DAS双事件双差到时二维震源定位,分类,x-seismic-processing-workstation,Seismic Interpretation / Processing Workstation — 道集处理与解释,,unsure,2/3,0.42
cn-all-remaining-0123-656e26a4,竣工图册结构化重构与受控出图,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.62
cn-all-remaining-0124-30d49720,城市次干路交通安全设施设计与出图,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.62
cn-all-remaining-0125-86fa09c7,球罐附属平台盘梯钢结构专项设计,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,yes,2/3,0.53
cn-all-remaining-0126-67b61a90,市政道路工程竣工结算审核,分类,construction-estimating-software,Construction Estimating Software,,yes,3/3,0.55
cn-all-remaining-0128-db79712b,交通标志标线图表一致性整改,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.62
cn-all-remaining-0129-cfec2dd0,两处交叉口渠化施工图及车道拓扑重建,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.62
cn-all-remaining-0130-7dc96439,交通标志版面及支撑结构详图重建,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.58
cn-all-remaining-0136-025708d5,MNIST 手写数字识别管道,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,3/3,0.93
cn-all-remaining-0140-b00e71e8,短跑起跑加速期派生支撑窗口触地足位与躯干抬升演进判定,分类,x-motion-capture-biomechanics-lab,Motion Capture / Biomechanics Lab Software — 动捕采集与肌骨建模工作流,,yes,3/3,0.87
cn-all-remaining-0141-b2af36d4,地热井连续 DAS 信号特征分析与可靠沿井速度剖面反演,分类,x-test-bench-daq,Test Bench / Data Acquisition Software — 台架试验的多通道采集与回放,,yes,2/2,0.53
cn-all-remaining-0144-a17cd5ce,实测 MT/AMT EDI 质控与平滑一维电阻率反演,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,2/2,0.8
cn-all-remaining-0145-e95af7e1,基于声子模态热容加权的负热膨胀 Grüneisen 描述符计算程序,分类,x-atomistic-simulation-package,Atomistic / Molecular Simulation Package — 分子动力学与第一性原理计算,,unsure,2/2,0.53
cn-all-remaining-0147-8adc1dee,基于热膨胀系数曲线的负热膨胀区间识别与稳健分类程序,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,unsure,2/2,0.45
cn-all-remaining-0148-25afc0d0,真实 GNSS 速度场质量控制与稳健二维应变率反演,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,2/2,0.8
cn-all-remaining-0150-c71a0779,面向负热膨胀逆向设计的结构合理性与 XRD 新颖性筛选程序,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,unsure,2/2,0.5
cn-all-remaining-0151-f7249cf5,真实远震三分量响应校正、坐标旋转与震相验证,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,yes,2/2,0.88
cn-all-remaining-0153-be2ba508,负热膨胀候选的 Grüneisen–声子稳定性–凸包能三目标 Pareto 决策程序,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,unsure,2/2,0.45
cn-all-remaining-0154-077b3b0c,可恢复的负热膨胀材料逆向设计批任务编排与状态管理程序,分类,x-hpc-job-scheduler,HPC Cluster / Job Scheduler Portal — 作业提交队列与算例日志,,no,2/2,0.5
cn-all-remaining-0155-15cf16ab,航磁测线交叉点平差与调平,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,2/2,0.72
cn-all-remaining-0156-d5cf6958,DART海啸到时与传播速度判定,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,2/2,0.7
cn-all-remaining-0157-48c5ea38,负热膨胀材料异构结构字段标准化与数据质量审计程序,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,2/2,0.55
cn-all-remaining-0158-341df0ea,环境噪声HVSR场地共振评估,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,yes,2/2,0.78
cn-all-remaining-0159-fc7402fc,Adult Census 表格数据质量审计,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,2/2,0.94
cn-all-remaining-0160-5d376197,区域地震 P、S 到时联合定位,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,yes,2/2,0.7
cn-all-remaining-0162-c827b242,负热膨胀材料多条件检索与稳定分页 API,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,2/2,0.7
cn-all-remaining-0163-f216c49f,真实 SKS 剪切波分裂测量与上地幔各向异性评估,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,yes,2/2,0.88
cn-all-remaining-0165-b35850c6,负热膨胀材料详情数据契约与结构文件安全导出服务,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,2/2,0.7
cn-all-remaining-0166-b4934700,Ridgecrest 主震后地震簇稳健双差重定位,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,yes,2/2,0.85
cn-all-remaining-0168-382cfa9c,AG News 新闻主题建模,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,2/2,0.94
cn-all-remaining-0169-866f3425,基于Cora的引文网络链接预测,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,2/2,0.94
cn-all-remaining-0170-55cf9dab,负热膨胀材料数据库交互式可视化网站,分类,x-materials-property-database,Materials Property Database — 材料结构与性质检索库,,yes,2/2,0.65
cn-all-remaining-0172-6856819c,科研材料数据库访问申请、下载配额与审计后台,分类,identity-and-access-management-iam,Identity and Access Management (IAM) Software,,no,2/2,0.4
cn-all-remaining-0173-475052f5,共享单车逐时需求回归预测,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,2/2,0.94
cn-all-remaining-0176-d6d67203,混凝土抗压强度回归预测,分类,x-research-dataset-repository,Research Dataset Repository — 公开数据集下载页与元数据,,yes,3/3,0.92
cn-all-remaining-0177-eaac0e4d,四处交叉口交通信号设施布置及设备清单补全,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.65
cn-all-remaining-0178-56bf88f1,四处交叉口交通信号管线网络及电缆清册重建,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.65
cn-all-remaining-0179-4e71f3aa,多批次药物处理转录组数据的批次效应评估与差异表达判定,分类,x-genomics-data-repository,Genomics / Bioinformatics Data Repository — 组学数据集与样本注释,,yes,3/3,0.68
cn-all-remaining-0180-5430cc08,市政道路多专业综合冲突检查与消解,分类,building-design-and-building-information-modeling-bim,Building Design and Building Information Modeling (BIM) Software,,yes,2/3,0.57
cn-all-remaining-0181-49c052bc,四区段雨水管网平面及构筑物属性重建,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.65
cn-all-remaining-0182-84d4da65,粉末衍射数据的从头晶胞测定,分类,x-test-bench-daq,Test Bench / Data Acquisition Software — 台架试验的多通道采集与回放,,yes,1/3,0.47
cn-all-remaining-0184-f035325a,六区段雨水管线纵断面补绘及水力复核,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.65
cn-all-remaining-0185-e54d6ed7,照明竣工图运维接管索引图、台账及复核报告编制,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.58
cn-all-remaining-0186-e7bbf411,球罐基础荷载及地脚螺栓设计条件图,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,yes,1/3,0.55
cn-all-remaining-0187-605dc08a,综合管线交叉会审标记及问题闭环,分类,civil-engineering-design,Civil Engineering Design Software,,yes,3/3,0.65
cn-all-remaining-0188-42909212,球罐基础条件图与荷载提资,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,yes,1/3,0.55
cn-all-remaining-0189-d989a5b8,random_csv_summary,分类,spreadsheets,Spreadsheets Software,,no,3/3,0.47
cn-all-remaining-0190-3c8f53db,垂直 DAS 微震震源入射路径校正,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,unsure,1/3,0.52
cn-all-remaining-0192-dd5aeb8b,实测井下DAS小波互谱时延测量与沿光纤视相速度稳定性评估,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,yes,2/3,0.75
cn-all-remaining-0193-9b57cb86,小波互谱走时差MATLAB流程的自包含C17迁移与数值等价性验证,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,yes,1/3,0.52
cn-all-remaining-0194-b11424c0,实测背景噪声互相关、经验格林函数收敛性与可解释性评估,分类,x-seismic-waveform-data-center,Seismic Waveform Data Center — 台站波形与事件目录检索,,yes,3/3,0.85
cn-all-remaining-0195-5825e6c9,水泵机械零部件正向设计与轴承全工况寿命校核综合任务,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,yes,3/3,0.78
cn-all-remaining-0196-0fcde01e,fable_flow_pipeline,分类,ai-video-generators,AI Video Generators,,no,2/3,0.37
cn-all-remaining-0197-3096cac7,新能源汽车电机轴机加工工艺规格书,分类,mechanical-computer-aided-design-mcad,Mechanical Computer-aided Design (MCAD) Software,,no,3/3,0.4
cn-all-remaining-0198-6f703aa0,game_daily_task_bot,分类,automation-testing-tools,Automation Testing Tools,,no,3/3,0.33
cn-all-remaining-0199-7d1d6e95,app_performance_test,分类,mobile-app-testing,Mobile App Testing Software,,yes,2/3,0.53
cn-all-remaining-0200-7d3bbee1,AI 玩具主控板硬件开发,分类,pcb-design,PCB Design Software,,yes,3/3,0.82
cn-all-remaining-0201-aa7b482c,硬件积木主控板硬件开发,分类,pcb-design,PCB Design Software,,yes,3/3,0.82
cn-all-remaining-0202-e9714142,三维 Voronoi 晶界应力模型制作,分类,simulation-cae,Simulation & CAE Software,,yes,3/3,0.67
cn-all-remaining-0203-0a333446,super_press,分类,automation-testing-tools,Automation Testing Tools,,no,3/3,0.45
cn-all-remaining-0204-96586aa4,构建 SEC Inline XBRL 申报审计与 Company Facts 对账数据管道,分类,financial-data-apis,Financial Data APIs,,yes,1/3,0.68
cn-all-remaining-0205-56a2c514,MIDI 到专业五线谱制谱,分类,audio-editing,Audio Editing Software,,yes,3/3,0.37
cn-all-remaining-0206-ba9d1d88,(untitled),分类,x-genomics-data-repository,Genomics / Bioinformatics Data Repository — 组学数据集与样本注释,,yes,3/3,0.83
cn-all-remaining-0207-8b063b46,构建 NVD/CISA 漏洞情报规范化与时态修复优先级数据产品,分类,vulnerability-management,Vulnerability Management Software,,yes,3/3,0.63
cn-all-remaining-0208-3882716b,AutoLoginPro,分类,automation-testing-tools,Automation Testing Tools,,no,3/3,0.5
cn-all-remaining-0214-53980c22,短跑起跑加速期连续步触地构型、边界状态重建与处理多机制可识别性分析,分类,x-motion-capture-biomechanics-lab,Motion Capture / Biomechanics Lab Software — 动捕采集与肌骨建模工作流,,yes,3/3,0.82
cn-all-remaining-0215-7ece7df7,AI 玩具主控板硬件开发,分类,pcb-design,PCB Design Software,,yes,3/3,0.63
cn-all-remaining-0216-24153bc9,短跑起跑加速期派生支撑窗口的多估计器趋势、事件时钟竞争、双向状态重建,分类,x-motion-capture-biomechanics-lab,Motion Capture / Biomechanics Lab Software — 动捕采集与肌骨建模工作流,,yes,3/3,0.82
cn-all-remaining-0217-fbf764f2,专业文献绘图,分类,x-genomics-data-repository,Genomics / Bioinformatics Data Repository — 组学数据集与样本注释,,yes,3/3,0.48
cn-all-remaining-0218-c55ed2a4,业务状态对接规则实现与验证,分类,workflow-management,Workflow Management Software,,no,2/3,0.42
cn-all-remaining-0219-3028b620,"[BUG] Multiple ArrayIndexOutOfBoundsException in JSONReaderUTF8.java, JSONReaderASCII.java, JSONReader.java",分类,source-code-management,Source Code Management Software,,yes,2/3,0.57
cn-all-remaining-0220-bb326e7d,6月会员续费下滑复盘与分层召回名单,分类,subscription-management,Subscription Management Software,,yes,3/3,0.55
cn-all-remaining-0221-2cf3a288,24个月稳定性统计复核与货架期建议,分类,lims,LIMS Software,,yes,3/3,0.57
cn-all-remaining-0222-930d164f,CSR定稿前交叉设计BE统计独立复核,分类,electronic-data-capture-edc,Electronic Data Capture (EDC) Software,,yes,3/3,0.6
cn-all-remaining-0223-6433ad04,游戏工程自动化回归测试用例梳理,分类,bug-tracking,Bug Tracking Software,,yes,3/3,0.52
cn-all-remaining-0225-67c5083f,商品房组合销售额上限及变化趋势测试,分类,urban-planning-and-design,Urban Planning and Design Software,,yes,2/3,0.48
cn-all-remaining-0227-eea5b2ab,3d模型标准化质检,分类,3d-modeling,3D Modeling Software,,no,3/3,0.48
