品类,中文,参照产品,族内序号,一致度,另一票,任务名,判据,形态族,记录/来源,原文点名,行业,custom_id,我的判断
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,35,3/3,,OTTO 电商会话 next-click 推荐,OTTO会话公开benchmark库,,OTTO Recommender Systems Dataset (GitHub/Kaggle),OTTO Recommender Systems Dataset,电商与推荐系统,cn-all-remaining-0064-f465db7b,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,36,3/3,,Adult Census 表格数据质量审计,UCI人口普查数据集,,UCI ML Repository (Adult Census Income),Adult Census Income,数据工程与数据治理,cn-all-remaining-0068-c81cc32b,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,37,3/3,,电商会话级 Top-K 召回管道,OTTO会话公开benchmark库,,GitHub/Kaggle (OTTO Recsys Dataset),OTTO Recommender Systems Dataset,推荐系统,cn-all-remaining-0071-37996442,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,38,3/3,,银行定期存款订阅预测管道,"UCI基准数据集,表格特征",,UCI Machine Learning Repository,Bank Marketing,数据科学,cn-all-remaining-0073-452b7fbc,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,39,3/3,,FD001 涡扇发动机剩余寿命(RUL)预测管道,NASA公开退化仿真数据集,,NASA Open Data Portal (data.nasa.gov),NASA C-MAPSS,工业 4.0 与预测性维护,cn-all-remaining-0074-d8d19fe8,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,40,3/3,,AG News 新闻主题文本分类管道,HuggingFace文本分类基准,,HuggingFace Datasets,AG News,NLP 与文本智能,cn-all-remaining-0075-d8b42022,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,41,3/3,,20 Newsgroups 多类文本分类管道,figshare文本分类基准,,figshare,20 Newsgroups,NLP 与文本智能,cn-all-remaining-0076-9295b271,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,42,3/3,,网络入侵检测处理管道,UNSW流量特征基准数据集,,UNSW-NB15 (研究机构/GitHub镜像),UNSW-NB15,网络安全,cn-all-remaining-0079-687957c7,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,43,3/3,,人体活动识别管道,UCI传感器特征分类基准,,UCI Machine Learning Repository,UCI Human Activity Recognition Using Smartphones,嵌入式 ML ,cn-all-remaining-0132-a04b6dbd,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,44,3/3,,手写符号聚类管道,UCI手写笔迹聚类基准,数据集/资料仓库详情页,UCI ML Repository（Pen-Based Recognition of Handwritten Digits）,Pen-Based Recognition of Handwritten Digits, 数据科学,cn-all-remaining-0133-f7460d93,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,45,3/3,,钢带表面缺陷分类管道,UCI公开基准数据集,数据集/资料仓库详情页,UCI Steel Plates Faults,Steel Plates Faults,制造工程,cn-all-remaining-0175-d4ad3f28,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,46,3/3,,混凝土抗压强度回归预测,UCI公开基准数据集,数据集/资料仓库详情页,UCI Concrete Compressive Strength,UCI Concrete Compressive Strength,材料工程与土木工程,cn-all-remaining-0176-d6d67203,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,47,3/3,,家电能耗概率区间预测,UCI公开基准数据集,数据集/资料仓库详情页,UCI Machine Learning Repository,UCI Appliances Energy Prediction,数据科学,cn-all-remaining-0211-8626b54a,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,48,3/3,,法国逐小时电力负荷预测管道,OPSD带DOI数据包,数据集/资料仓库详情页,Open Power System Data,Open Power System Data,电力,cn-all-remaining-0212-294e3740,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,49,3/3,,FMI 成像测井裂缝密度、优势产状与高裂缝带自动识别,地热科研测井数据集,数据集/资料仓库详情页,Utah FORGE/OpenEI,Utah FORGE,科学类、地球科学研究人员,cn-all-remaining-0242-be25547c,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,50,3/3,,药物相互作用(DDI)图链接预测管道,GitHub公开图数据集,数据集/资料仓库详情页,GitHub benedekrozemberczki/datasets,benedekrozemberczki/datasets,药物发现,cn-all-remaining-0250-dd5e6757,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,51,3/3,,葡萄酒品质序数回归,UCI经典基准数据集,数据集/资料仓库详情页,UCI Wine Quality,UCI Wine Quality,食品科学,cn-all-remaining-0252-36566ef7,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,52,3/3,,交通流量递归多步分位数预测,UCI交通流量数据集,时序监测点/日志事件记录,UCI Metro Interstate Traffic Volume,UCI Metro Interstate Traffic Volume,智能交通系统,cn-all-remaining-0254-6e32e684,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,53,3/3,,酵母基因功能多标签分类,UCI基因表达数据集,数据集/资料仓库详情页,UCI Machine Learning Repository,,生物信息,cn-all-remaining-0269-78ef8a58,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,54,3/3,,小鼠皮层蛋白质组学基因型分类,UCI单表数据集,单表统计/观测数据下载门户,UCI Machine Learning Repository,UCI Mice Protein Expression,神经蛋白质组学,cn-all-remaining-0473-afcf860c,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,55,3/3,,SRU 硫磺回收装置尾气浓度软测量,学术基准时序数据集,时序监测点/日志事件记录,学术基准数据集仓库(如DaISy),Fortuna et al. 2007 SRU Dataset,软测量,cn-all-remaining-0474-6ffc068e,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,56,3/3,,Metro 州际公路交通流量预测,UCI时序流量数据,时序监测点/日志事件记录,UCI Machine Learning Repository,UCI Metro Interstate Traffic Volume,交通运输,cn-all-remaining-0475-6cd46667,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,57,3/3,,工业 SKAB 预测-残差时间戳级异常检测管道,GitHub基准数据集,时序监测点/日志事件记录,SKAB (GitHub数据集仓库),SKAB (Skoltech Anomaly Benchmark),工业预测性维护,cn-all-remaining-0476-fb434d54,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,58,3/3,,钢板表面缺陷7分类,UCI分类数据集,单表统计/观测数据下载门户,UCI/OpenML Steel Plates Faults,UCI Steel Plates Faults,制造业质量控制,cn-all-remaining-0478-c21c6715,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,59,3/3,,可穿戴IoT人体活动识别6分类,UCI传感器数据集,单表统计/观测数据下载门户,UCI Human Activity Recognition,UCI Human Activity Recognition Using Smartphones,可穿戴设备 / IoT,cn-all-remaining-0479-abb9f7a8,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,60,3/3,,番茄多环境试验品种稳定性复核与下一轮区域试验决策,公开可溯源试验数据集,数据集/资料仓库详情页,番茄多环境试验公开数据集（可追溯原始研究）,,行业研究、农业科学研究人员,cn-all-remaining-0847-be9888d6,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,61,3/3,,Buchwald-Hartwig 反应条件数据的可复算审计,公开反应数据单表,单表统计/观测数据下载门户,Figshare/Kaggle等公开反应数据集仓库,,化学信息学、实验数据质量审计与研,cn-all-remaining-0991-aea4e661,
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,62,人工改判,lims,半导体制程良率异常筛查与关键量测点复核,批次量测+QC复核,批次-样品-检验/QC记录(LIMS/MES),UCI Machine Learning Repository (SECOM),UCI SECOM,行业研究、智能制造工程师,cn-all-remaining-0859-794a0507,lims→dataset-repository：SECOM 1567×590 宽矩阵是 UCI 数据集，装不进结果网格
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,63,人工改判,lims,匿名钻孔多元素化探迁移复核与复验优先级,钻孔批次→化验结果行,批次-样品-检验/QC记录(LIMS/MES),Zenodo,GeoMet,科学类、地质学家,cn-all-remaining-0898-45d332c5,lims→dataset-repository：钻孔化探是 Zenodo 数据集，无批次/运行语义
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,64,人工改判,gov-statistics-portal,五因子另类风险溢价基金无前视回测、风险预算与绩效归因,单表因子收益查询导出,单表统计/观测数据下载门户,五因子日收益率数据,Fama/French Data Library (Kenneth R. French),金融与证券、基金量化研究员,cn-all-remaining-0795-2d469bcb,gov-statistics-portal→dataset-repository：Fama/French 公开因子数据集
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,65,人工改判,gov-statistics-portal,商业车险责任险2007年准备金行业基准复核,行业三角表按年查询导出,地区×年份统计矩阵,NAIC Schedule P (CAS),NAIC Schedule P,行业研究、精算师,cn-all-remaining-0867-2acdfc1e,gov-statistics-portal→dataset-repository：CAS Schedule P 整理数据集
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,66,人工改判,regulatory-registry,哮喘用药与神经精神事件的自发报告信号评估,不良事件申报检索,可检索档案库+详情页,药品不良事件自发报告,,药学,cn-all-remaining-0987-086c66e0,regulatory-registry→dataset-repository：FAERS 型不良事件计数表
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,67,人工改判,regulatory-registry,2024款纯电车型EPA道路载荷基准复核与旧版方法审计,EPA官方检索备案库,可检索档案库+详情页,EPA Test Car List Data,EPA Test Car List Data,行业研究、汽车工程师（整车动力经,cn-all-remaining-0851-f49f24e5,regulatory-registry→dataset-repository：EPA Test Car List 试验数据表
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,68,人工改判,process-historian,多空动量策略历史回测,多标的价格时序趋势,时序监测点/日志事件记录,股票日线行情记录,,金融与证券,cn-all-remaining-0008-8a350880,process-historian→dataset-repository：美股日线行情，公开数据集
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,69,人工改判,process-historian,NASA C-MAPSS FD001涡扇发动机RUL基线复核与算法准入,传感器多位号时序,时序监测点/日志事件记录,NASA C-MAPSS (PCoE数据仓库),NASA C-MAPSS (Commercial Modular Aero-Propulsion System Simulation),工程类、行业研究、航空航天工程师,cn-all-remaining-0860-94376395,process-historian→dataset-repository：NASA C-MAPSS 公开数据集
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,70,人工改判,process-historian,连续EEG眼状态记录的质控、后部α反应检验与时序泄漏审计,多通道时序+事件子表,时序监测点/日志事件记录,UCI Machine Learning Repository (EEG Eye State),,科学类、神经科学研究人员科学类、,cn-all-remaining-0902-b4e90b75,process-historian→dataset-repository：EEG Eye State 公开数据集
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,71,人工改判,process-historian,连续 EEG 睁闭眼数据的伪重复控制、枕区 Alpha 检验与解码泄漏审计,多通道时序+事件子表,时序监测点/日志事件记录,UCI Machine Learning Repository,EEG Eye State Dataset,科学类、神经科学研究人员,cn-all-remaining-0949-8fa819f1,process-historian→dataset-repository：EEG 公开数据集
dataset-repository,公开数据集仓库,UCI ML Repository / Zenodo,72,人工改判,order-management,产品共购图链接预测管道,发票逐条交易流水,订单/交易/支付/退款/物流流水,逐条交易流水/订单记录,UCI Online Retail, 商品关联分析,cn-all-remaining-0351-c0f3eb29,order-management→dataset-repository：建站反馈：36.2万行交易流水在订单界面取不出，是数据集/ML 管道形状
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,1,2/2,,柏林气象温度递归多步预测,Open-Meteo气象观测站,单表统计/观测数据下载门户,气象站逐小时观测记录,Open-Meteo,气象与环境工程,cn-all-remaining-0209-c0b07690,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,2,2/2,,USGS–NOAA River Gauge Rating and Flood Audit,站点+时间窗查询+时序表导出,时序监测点/日志事件记录,河流水位站日值观测记录,USGS Earthquake Hazards Program,水文学 / 洪水运营 / 环境数,cn-all-remaining-1162-11cb0898,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,3,2/2,,DART海啸到时与传播速度判定,DART海洋站点观测,数据集/资料仓库详情页,NOAA NDBC DART,DART (Deep-ocean Assessment and Reporting of Tsunamis),科学类、地球科学研究人员,cn-all-remaining-0156-d5cf6958,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,4,2/3,enforcement-case,Hurricane Helene 跨 NHC、NOAA 与 FEMA 公共援助审计,NHC/NOAA风暴事件为核心,主体档案+关联事件时间线,灾害事件、气象记录与公共援助拨款记录,National Hurricane Center (NHC),应急管理数据工程 / 热带气旋与,cn-all-remaining-0631-ea4b7723,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,5,2/3,process-historian,交通流核验与发布封板审计,检测点时序查询,时序监测点/日志事件记录,交通检测点记录,,交通工程 / 智能交通,cn-all-remaining-0977-49dbb8c6,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,6,2/3,process-historian,水质评价核验与发布封板审计,监测站时序查询,时序监测点/日志事件记录,水质监测记录,,环境监测 / 水环境科学,cn-all-remaining-0978-44ed4df9,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,7,2/3,process-historian,声学噪声评价核验与发布封板复核,监测节点时序查询,时序监测点/日志事件记录,噪声监测节点记录,,声学工程 / 环境噪声评价、自动,cn-all-remaining-0979-0d29ab51,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,8,2/3,gov-statistics-portal,加州污水监测人口覆盖与连续性审计（CDC 2025）,站点+时间窗+时序数据,时序监测点/日志事件记录,污水监测站点与人口普查记录,CDC National Wastewater Surveillance System (NWSS),公共卫生监测网络规划 / 数据质,cn-all-remaining-1254-9691ae4f,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,9,2/3,dataset-repository,空气质量多传感器长期漂移诊断与CO参考浓度校准,站点时序+要素+导出,时序监测点/日志事件记录,UCI Machine Learning Repository,Air Quality (UCI),科学类、科研项目研究员,cn-all-remaining-0893-6a26dc5f,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,10,2/3,dataset-repository,北京多站点空气质量质控与 PM2.5 缺失修复评估,多站点时序+缺失查询,时序监测点/日志事件记录,UCI Beijing Multi-Site Air-Quality Dataset,,科学类、科研数据分析师,cn-all-remaining-0951-95b279fc,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,11,3/3,,密西西比河日流量递归多步预测,站点+时序+导出,单表统计/观测数据下载门户,USGS站点逐日流量观测记录,USGS Water Data,水文与防汛工程,cn-all-remaining-0253-e224ded0,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,12,3/3,,北京 PM2.5 递归多步预测,站点+逐时+导出,单表统计/观测数据下载门户,空气质量逐小时观测记录,Open-Meteo,环境工程,cn-all-remaining-0278-95674282,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,13,3/3,,    夏季城市热岛、连续热浪与遥感地表温度回归的可复现科学分析    ,站点观测+要素查询,时序监测点/日志事件记录,气象站逐小时观测与卫星地表温度场景,,环境科学,cn-all-remaining-0330-f8d853da,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,14,3/3,,开普敦太阳辐射递归多步预测,Open-Meteo站点观测,单表统计/观测数据下载门户,气象站历史观测记录,Open-Meteo,新能源工程,cn-all-remaining-0346-54ee7ce2,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,15,3/3,,东京地面气压递归多步预测,Open-Meteo站点观测,单表统计/观测数据下载门户,气象站历史观测记录,Open-Meteo,气象工程,cn-all-remaining-0348-e08b7fe5,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,16,3/3,,上海相对湿度递归多步预测,Open-Meteo站点观测,单表统计/观测数据下载门户,逐小时天气观测记录,Open-Meteo,环境工程,cn-all-remaining-0349-c13fb8d4,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,17,3/3,,近海日尺度海温质量控制、海洋热浪事件识别与监测发布边界核验,站点日尺度海温门户,时序监测点/日志事件记录,海域分区日尺度SST监测数据,,科学研究类,cn-all-remaining-0398-6d389a9a,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,18,3/3,,北京参考作物蒸散量(ET0)预测,Open-Meteo逐小时气象驱动数据,单表统计/观测数据下载门户,逐小时气象观测/预报记录,Open-Meteo,农业水利工程,cn-all-remaining-0477-0fe64a0f,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,19,3/3,,构建 NOAA Hurricane Ian 潮位站风暴增水、垂直基准与洪水阈值审计产品,潮位站观测记录,时序监测点/日志事件记录,潮位站观测/预测记录,National Hurricane Center (NHC),海岸工程 / 海洋观测数据工程 ,cn-all-remaining-0652-b9c7d500,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,20,3/3,,匿名化工园区氯代烯烃地下水污染羽与自然衰减证据评估,监测井时序+QAQC,时序监测点/日志事件记录,监测井/VOC采样记录,,科学类、环境科学家,cn-all-remaining-0716-978e33d8,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,21,3/3,,凤凰城高温阈值方法缺陷定位、历史复算与发布门槛核验,GHCN气象站观测数据,单表统计/观测数据下载门户,气象站逐日观测记录,GHCN-Daily,行业研究、气象服务（气象学家）,cn-all-remaining-0845-a6a750c1,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,22,3/3,,空气质量监测数据核验与发布封板审计,监测站时序污染物数据,时序监测点/日志事件记录,空气质量监测记录,,环境监测 / 大气科学,cn-all-remaining-0975-ea568465,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,23,3/3,,NHC Hurricane Milton official forecast lead-time verification audit,台风路径时序查询导出,可检索档案库+详情页,气旋预报/最佳路径记录,Automated Tropical Cyclone Forecasting System (ATCF),Tropical cyclone,cn-all-remaining-1221-592f6bbe,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,24,3/3,,1998-2021年江苏近海SST梯度与HBCF/JSF锋带时空特征可复现分析,卫星SST观测门户,数据集/资料仓库详情页,Level-4 SST卫星产品数据中心(如NOAA/CMEMS),,科学类、海洋遥感与海洋数据分析,cn-all-remaining-0230-7ad23258,
weather-ocean-portal,气象与海洋观测门户,NOAA NCEI / Open-Meteo,25,3/3,,Build an NHC 2024 Atlantic official forecast and wind-radii verificati,NHC气象档案审计,时序监测点/日志事件记录,NHC (National Hurricane Center) 风暴档案,National Hurricane Center (NHC),Meteorology / tr,cn-all-remaining-0640-8ed4408f,
