形态族,族内序号,一致度,任务名,记录类型,操作,判断依据,已知来源,行业,custom_id,我的判断(留空待填)
可检索档案库+详情页,25,3/3,知识检索结果下钻与回答证据联动：文档证据排序与截取,知识检索文档证据,搜索+详情展开+排序,检索结果下钻与证据截取，非离线文件包,,知识应用,cn-all-remaining-0608-a7575ce7,
可检索档案库+详情页,26,3/3,构建 FDA Orange Book 专利、独占期与治疗等效跨库监管审计数据产品,药品申请/专利/独占期/治疗等效记录,搜索+筛选+详情展开+导出+跨表关联,标注数据门户，Orange Book可按成分/申请号查询,FDA Orange Book,制药监管数据工程 / Regul,cn-all-remaining-0630-3d193fa5,
可检索档案库+详情页,27,3/3,构建 FDA Orange Book 药品监管组合仓库与 Drugs@FDA 跨系统审计,药品监管组合与产品对账记录,搜索+筛选+导出+跨表关联,标注数据门户，Orange Book/Drugs@FDA可查询,FDA Orange Book,生物医药 / 药品监管数据工程 ,cn-all-remaining-0635-08f8465d,
可检索档案库+详情页,28,3/3,OMB 2024 Uniform Guidance 生效日法规变更控制审计,联邦法规条文与修订记录,搜索+筛选+翻页+导出,标注数据门户，eCFR按题目/条款查询浏览,eCFR (Electronic Code of Federal Regulations),法律与合规 / 政府财政援助监管,cn-all-remaining-0636-316cb833,
可检索档案库+详情页,29,3/3,构建 OFAC SDN 多语身份图谱与三格式制裁数据合规审计产品,受制裁实体(SDN)记录,搜索+筛选+详情展开+导出,OFAC制裁名单可搜索的实体记录列表,Office of Foreign Assets Control (OFAC),数据工程 / 金融合规 / 监管,cn-all-remaining-0642-a70454dd,
可检索档案库+详情页,30,3/3,FDIC/FFIEC 商业地产集中度、机构连续性与发布修订审计,银行机构财务记录,搜索+筛选+详情展开+导出,BankFind是典型可搜索银行记录门户,FDIC BankFind,金融服务 / 银行监管数据工程 ,cn-all-remaining-0644-6f64bd2d,
可检索档案库+详情页,31,3/3,构建美国财政部 2025Q1 国债拍卖生命周期、定价与配售审计数据产品,国债拍卖记录,搜索+筛选+详情展开+导出,TreasuryDirect拍卖查询工具，逐场记录可筛选,TreasuryDirect Auction Query,金融服务 / 美国国债一级市场 ,cn-all-remaining-0648-a8828ee9,
可检索档案库+详情页,32,3/3,构建 USGS 2024 地震影响产品发布血缘与版本修订审计,USGS地震事件与竞争产品(矩张量/ShakeMap/PAGER),搜索+筛选+详情展开+跨表关联+导出,ComCat按preferredWeight竞争产品可查询筛选,USGS Earthquake Hazards Program,地震数据工程 / 自然灾害影响产,cn-all-remaining-0649-f4bed7ef,
可检索档案库+详情页,33,3/3,美国口服直接抗凝药成人说明书关键用药条件结构化复核,药品说明书标签记录,搜索+筛选+详情展开+导出,DailyMed是处方药标签数据门户,DailyMed,行业研究、药学专业人员,cn-all-remaining-0850-f0bd0a8c,
可检索档案库+详情页,34,3/3,上市后多来源安全信息批量分诊、重复病例合并与E2B R3加速报告生成,上市后安全个例病例(ICSR),搜索+筛选+详情展开+跨表关联+导出,病例可检索匹配去重、按来源筛选,,医疗卫生、药物警戒专员（上市后个,cn-all-remaining-0952-e3358bdf,
可检索档案库+详情页,35,3/3,哮喘用药与神经精神事件的自发报告信号评估,药品不良事件自发报告,搜索+筛选+详情展开+导出,自发报告数据库(如FAERS)按药品/事件可查询,,药学,cn-all-remaining-0987-086c66e0,
可检索档案库+详情页,36,3/3,CMS 加州护理院检查、执法与所有权网络监管审计,护理院检查/评级/处罚记录,搜索+筛选+详情展开+导出,CMS Care Compare护理院可搜索检查评级数据库,Centers for Medicare & Medicaid Services (CMS),医疗健康 / 长期护理监管 / ,cn-all-remaining-1094-a7759ced,
可检索档案库+详情页,37,3/3,构建美国国会图书馆中文 MARC 多语种权威与系谱迁移审计产品,中文MARC书目记录,搜索+详情展开+导出,任务明确说明是LC SRU/MARCXML查询窗口结果,Library of Congress,数据科学,cn-all-remaining-1097-96b36b44,
可检索档案库+详情页,38,3/3,FCC ULS Microwave Path and ASR Compliance Audit,微波许可与天线结构注册记录,搜索+筛选+详情展开+导出,FCC ULS可搜索筛选许可证详情,Federal Communications Commission,通信监管 / 固定微波频谱工程 ,cn-all-remaining-1149-9529549a,
可检索档案库+详情页,39,3/3,构建 USDA Foundation Foods 分析谱系、营养素统计复核与 SR Legacy 跨版本对账产品,食品成分与营养素记录,搜索+筛选+详情展开+导出,FDC网站可搜索筛选食品营养记录,USDA FoodData Central,食品成分数据治理 / 农业营养数,cn-all-remaining-1151-3a37412b,
可检索档案库+详情页,40,3/3,SEC 2024 Adjudicatory Proceeding Lifecycle Audit,行政裁决案卷/委员会命令记录,搜索+筛选+详情展开+导出,SEC索引页可搜索筛选案卷详情,U.S. Securities and Exchange Commission (SEC),证券监管 / 行政裁决案卷管理 ,cn-all-remaining-1152-b88db992,
可检索档案库+详情页,41,3/3,构建 DOL 2024 加班薪资门槛撤销与技术修订生命周期审计,联邦公报规则/eCFR条文版本记录,搜索+筛选+详情展开+导出,Federal Register/eCFR可搜索的规则文档库,Federal Register,劳动法规 / Federal R,cn-all-remaining-1166-f86d5a49,
可检索档案库+详情页,42,3/3,构建 2024 镀锡轧材 Commerce-USITC 贸易救济生命周期审计,联邦公报贸易救济公告与USITC裁定,搜索+筛选+详情展开+导出,任务明言从Federal Register搜索结果中筛选,Federal Register,国际贸易救济 / 反倾销与反补贴,cn-all-remaining-1167-66c3f015,
可检索档案库+详情页,43,3/3,构建 NASA DONKI / NOAA SWPC 2024 年 5 月空间天气事件血缘与归因审计,DONKI太空天气事件(耀斑/CME/磁暴),搜索+筛选+详情展开+导出,DONKI事件目录可按类型/时间查询导出,NASA DONKI,科学数据工程 / 太空天气 / ,cn-all-remaining-1173-7c23ef43,
可检索档案库+详情页,44,3/3,USFWS 受威胁与濒危物种法定名录及关键栖息地变更核验,受威胁濒危物种法定名录记录,搜索+筛选+详情展开+导出,ECOS物种数据库可搜索筛选查详情,ECOS (Environmental Conservation Online System),环境监管 / 濒危物种法数据治理,cn-all-remaining-1185-d7d58067,
可检索档案库+详情页,45,3/3,Zenodo、DataCite 与 Software Heritage 科研软件发布谱系审计,科研软件发布版本记录,搜索+筛选+导出,Zenodo/DataCite按DOI可搜索发布记录,Zenodo,科研软件工程 / 学术元数据 /,cn-all-remaining-1187-c0c21c44,
可检索档案库+详情页,46,3/3,大都会艺术博物馆藏品与 Getty AAT 权威词迁移审计,博物馆藏品对象记录,搜索+详情展开+导出+跨表关联,Met藏品搜索结果与对象详情页，可点开浏览,Metropolitan Museum of Art,博物馆信息学 / 藏品数据工程 ,cn-all-remaining-1193-f47eaab5,
可检索档案库+详情页,47,3/3,FDA Orange Book application-level patent and exclusivity integrity aud,药品/专利/排他性记录,搜索+筛选+详情展开+导出+跨表关联,Orange Book按申请号可查询产品专利排他性,FDA Orange Book,Pharmaceutical r,cn-all-remaining-1218-8fa644b4,
可检索档案库+详情页,48,3/3,NHC Hurricane Milton official forecast lead-time verification audit,气旋预报/最佳路径记录,搜索+筛选+详情展开+导出,NHC按年份风暴查询预报与最佳路径产品,Automated Tropical Cyclone Forecasting System (ATCF),Tropical cyclone,cn-all-remaining-1221-592f6bbe,
可检索档案库+详情页,49,3/3,NASA CNEOS Sentry to SBDB top-risk identity and orbit audit,小天体轨道/风险记录,搜索+筛选+详情展开+导出,SBDB可按参数搜索并查看小天体详情页,JPL Small-Body Database (SBDB),Planetary defens,cn-all-remaining-1222-8580dbde,
可检索档案库+详情页,50,3/3,NVD and CISA KEV temporal and severity reconciliation audit,漏洞(CVE)记录,搜索+筛选+详情展开+导出+跨表关联,NVD/KEV可按CVE搜索筛选并导出记录,National Vulnerability Database (NVD),Cybersecurity vu,cn-all-remaining-1224-25c363a2,
可检索档案库+详情页,51,3/3,药品短缺与 NDC 供应谱系审计（FDA 2026）,药品短缺/NDC目录记录,搜索+筛选+导出+跨表关联,明确来自openFDA数据门户及RxNorm查询响应,openFDA,监管数据工程 / 医院药品供应保,cn-all-remaining-1246-c333a712,
可检索档案库+详情页,52,3/3,IETF RFC 与 IANA HTTP 注册表引用谱系治理审计,HTTP状态码/RFC索引记录,搜索+筛选+详情展开+导出,IANA注册表/RFC索引是可查询记录集合,IANA HTTP Status Code Registry,开放标准治理 / HTTP 协议,cn-all-remaining-1249-ce04e010,
可检索档案库+详情页,53,3/3,PyPI 与 OSV Python 发布物来源、漏洞区间及解析决策审计,PyPI发布物与OSV漏洞记录,搜索+筛选+详情展开+导出+跨表关联,PyPI包索引与OSV漏洞库均可搜索查询,PyPI,Python 软件供应链 / 包,cn-all-remaining-1251-b6824008,
可检索档案库+详情页,54,3/3,跨机构 IIIF 文化遗产清单互操作与迁移治理审计,机构IIIF文化遗产manifest记录,搜索+详情展开+导出,机构数字馆藏manifest可在线检索浏览,Smithsonian Institution,数字文化遗产 / IIIF 开放,cn-all-remaining-1253-671145bb,
可检索档案库+详情页,55,3/3,农产品农药残留与 EPA 容许量合规审计（USDA PDP 2023）,农药残留检测与法规记录,搜索+筛选+详情展开+导出+跨表关联,PDP检测数据与eCFR法规库均可检索,USDA Pesticide Data Program,农业实验室 / 食品安全监管数据,cn-all-remaining-1256-543f9374,
可检索档案库+详情页,56,3/3,FDIC 与 OCC 银行牌照监管边界及机构身份核验,银行牌照与机构注册记录,搜索+筛选+详情展开+导出+跨表关联,FDIC BankFind是可搜索机构注册库,Office of the Comptroller of the Currency (OCC),金融监管 / 银行牌照 / 法律,cn-all-remaining-1259-7713fc3c,
可检索档案库+详情页,57,3/3,DOE 与 Federal Register LNG 深水港申请生命周期及出口流量核验,联邦公报LNG深水港许可文书记录,搜索+筛选+详情展开+跨表关联,Federal Register可按机构/日期/关键词搜索的公告记录,Maritime Administration (MARAD),能源行政法 / LNG 深水港授,cn-all-remaining-1266-830a170d,
可检索档案库+详情页,58,3/3,FlyWire-Hemibrain 连接组数据交叉对齐,神经元注释/匹配记录,搜索+筛选+详情展开+导出,FlyWire/neuprint神经元库可按类型筛选并导出注释表,FlyWire,神经科学 · 连接组学 / 生物,cn-all-remaining-1284-b217705c,
可检索档案库+详情页,59,3/3,SWC 神经元形态重建与多指标量化分析,NeuroMorpho.Org神经元形态重建条目,搜索+筛选+详情展开+导出,库按物种/脑区/类型筛选后下载SWC文件,NeuroMorpho.Org,神经科学 · 计算神经科学（神经,cn-all-remaining-1286-57ed5e7e,
批次-样品-检验/QC记录(LIMS/MES),1,2/3,复现并审计 NHTSA 2024 FARS 超速致死事故监管数据产品,致死事故/车辆/人员记录,筛选+导出+跨表关联,"FARS数据门户多表关联记录,可按字段查询导出",FARS (Fatality Analysis Reporting System),道路交通安全 / 监管数据工程 ,cn-all-remaining-0298-23ad7da2,
批次-样品-检验/QC记录(LIMS/MES),2,2/3,注塑连接器壳体关键尺寸过程能力、异常批次与放行门槛核验,关键尺寸测量记录,筛选+导出+跨表关联,按机台/模穴/子组的SPC记录表,,工程类、质量工程师、制造过程质量,cn-all-remaining-0948-b0c93dc1,
批次-样品-检验/QC记录(LIMS/MES),3,2/3,OSHA 德州电力行业检查、引用标准与罚款闭包审计,OSHA检查与引用记录,搜索+筛选+详情展开+跨表关联,"IMIS检索页+逐案详情页,按州/行业/年份可查",OSHA Integrated Management Information System (IMIS),劳动执法 / 职业安全 / 检查,cn-all-remaining-1262-e78cfd80,
批次-样品-检验/QC记录(LIMS/MES),4,2/3,PHMSA 管道安全执法案件阶段、引用法规与处罚闭包审计,PHMSA管道执法案件记录,搜索+筛选+导出+跨表关联,"执法Raw Data数据门户,按CPF案件字段查询导出",PHMSA Enforcement Raw Data,交通与能源基础设施监管 / 管道,cn-all-remaining-1264-008f2bdb,
批次-样品-检验/QC记录(LIMS/MES),5,3/3,汽车零部件制造企业5月生产成本明细核算及降本方案报告编制任务,生产批次/工序物料耗用记录,筛选+导出+跨表关联,生产数据按产品工序物料可筛选查询导出,,制造业成本管控与财务分析,cn-all-remaining-0006-9effbd05,
批次-样品-检验/QC记录(LIMS/MES),6,3/3,区域地震 P、S 到时联合定位,地震台站与P/S到时拾取记录,筛选+导出+跨表关联,台站表与拾取表为地震数据门户可查询导出格式,,科学类、地球科学研究人员,cn-all-remaining-0160-5d376197,
批次-样品-检验/QC记录(LIMS/MES),7,3/3,Ridgecrest 主震后地震簇稳健双差重定位,余震目录事件与台站记录,筛选+导出+跨表关联,Ridgecrest公开地震目录按震级/时间筛选导出,Ridgecrest earthquake sequence catalog,科学类、地球科学研究人员,cn-all-remaining-0166-b4934700,
批次-样品-检验/QC记录(LIMS/MES),8,3/3,24个月稳定性统计复核与货架期建议,稳定性检验批次与结果,筛选+导出+跨表关联,LIMS检验明细、批次信息、规格多表关联查询,,药学专业人员,cn-all-remaining-0221-2cf3a288,
批次-样品-检验/QC记录(LIMS/MES),9,3/3,汽车连接器注塑件关键尺寸SPC分析、过程能力评估与量产放行判定    ,注塑件质检子组记录,筛选+导出+跨表关联,按subgroup_id/sample_no/timestamp组织的批次质检记录表,,汽车工程、质量管理,cn-all-remaining-0291-e8bd6c4c,
批次-样品-检验/QC记录(LIMS/MES),10,3/3,电子连接器来料关键特性、外观缺陷与量具校准批次复核,来料检验批次与测量记录,筛选+导出,QMS/LIMS式批次抽样测量与外观检验记录,,    工程类、质量工程师   ,cn-all-remaining-0407-b77013e8,
批次-样品-检验/QC记录(LIMS/MES),11,3/3,三流域农药暴露与底栖无脊椎动物群落响应的多源数据质控、混合效应建模与敏感性分析,水样/生物样采集批次与LC-MS/MS结果,筛选+导出+跨表关联,"批次-结果行-QC状态,典型LIMS结构",,科学类、环境科学家、科研数据分析,cn-all-remaining-0421-9128c0d2,
批次-样品-检验/QC记录(LIMS/MES),12,3/3,河口湿地甲烷通量多批次校准、脉冲事件与年度预算审计,GC校准批次与箱体通量采样记录,筛选+导出+跨表关联,"批次-结果-QC状态,同LIMS例子",,科学类、环境科学与科研数据分析,cn-all-remaining-0423-6de57e18,
批次-样品-检验/QC记录(LIMS/MES),13,3/3,四批次TMT蛋白质组同位素校正、桥接归一化与差异通路复核,TMT批次肽段/通道强度结果记录,筛选+导出+跨表关联,"批次-肽段-通道结果,同LIMS结构",,科学类、生物学研究人员,cn-all-remaining-0429-bb30f48c,
批次-样品-检验/QC记录(LIMS/MES),14,3/3,    300mm晶圆刻蚀工艺漂移、SPC/FDC根因分析与批次放行    ,批次/晶圆量测与FDC记录,筛选+详情展开+导出+跨表关联,MES批次晶圆量测记录可筛选导出,,    工程类、半导体工艺工程师,cn-all-remaining-0443-dc5f61f5,
批次-样品-检验/QC记录(LIMS/MES),15,3/3,晶圆厂多站点SPC、良率归因与工艺窗口优化复核,批次/晶圆工艺记录,筛选+详情展开+导出+跨表关联,MES批次晶圆参数记录可筛选导出,,工程类—半导体工艺工程师,cn-all-remaining-0444-8561ae74,
批次-样品-检验/QC记录(LIMS/MES),16,3/3,LX-217无菌冻干注射剂工艺验证、稳定性趋势、OOS/OOT调查与批次放行,批次与HPLC检测记录,筛选+详情展开+导出,LIMS批次、序列、稳定性记录，典型实验室系统列表,,医疗卫生、药学专业人员,cn-all-remaining-0446-824b7977,
批次-样品-检验/QC记录(LIMS/MES),17,3/3,CT1 光刻 CD 偏高异常根因分析、批次处置与工艺再资格,批次/晶圆/量测记录,筛选+详情展开+跨表关联+导出,MES晶圆批次记录，类似LIMS可查询,,工程技术类、半导体工艺工程师,cn-all-remaining-0703-5714b5c0,
批次-样品-检验/QC记录(LIMS/MES),18,3/3,300 mm 氧化物刻蚀腔体 PM 后 Via CD 漂移根因分析、配方恢复与批次处置,CD-SEM量测/FDC批次记录,筛选+跨表关联+导出,按批次腔体查询的量测与设备事件记录表,,工程类、半导体工艺工程师,cn-all-remaining-0745-5cca1ad5,
批次-样品-检验/QC记录(LIMS/MES),19,3/3,电驱壳体轴承孔尺寸漂移分析与过程能力改善验证,尺寸检验与加工参数记录,筛选+排序+导出,按part_id可查询筛选的检验参数记录表,,工程类、质量工程师,cn-all-remaining-0746-667d6a72,
批次-样品-检验/QC记录(LIMS/MES),20,3/3,真空熟制鸡胸肉冷藏腐败货架期建模与温度波动评估,LIMS平板菌落计数记录,筛选+导出,原始LIMS导出的挑战试验平板记录,,科学类、食品科学研究人员,cn-all-remaining-0754-26345d25,
批次-样品-检验/QC记录(LIMS/MES),21,3/3,12英寸晶圆厂M1光刻CD/Overlay漂移调查与批次处置,晶圆/批次量测记录(CD/Overlay),搜索+筛选+跨表关联+导出,MES量测与批次履历按lot/tool查询导出,,工程类、半导体工艺工程师,cn-all-remaining-0759-3002eee7,
批次-样品-检验/QC记录(LIMS/MES),22,3/3,五层主体结构实测实量、资料证据链复核与整改销项自动核验,实测实量记录/检验批与试块台账,搜索+筛选+跨表关联+导出,质量管理平台按楼层构件查询导出的台账,,建筑、测绘与规划-质量员,cn-all-remaining-0763-7c2e7f10,
批次-样品-检验/QC记录(LIMS/MES),23,3/3,临港北片区1:500地形图修测收尾排产、质量放行与批次交付,分幅生产日报/检查点/问题台账记录,搜索+筛选+跨表关联+导出,测绘生产管理系统按分幅日期查询台账,,建筑、测绘与规划-生产经理,cn-all-remaining-0765-2e0c67fe,
批次-样品-检验/QC记录(LIMS/MES),24,3/3,CHO细胞补料分批培养批次一致性、过程偏差与收获窗口评估,培养批次在线/离线检测记录,筛选+导出+跨表关联,多批次历史库位号数据与检测结果表,,科学类、生物工艺科学人员,cn-all-remaining-0794-37667882,
批次-样品-检验/QC记录(LIMS/MES),25,3/3,磷酸铁锂电芯一致性、模组快充热安全与循环寿命联合评审及量产放行判定,电芯/模组测试与循环记录,筛选+跨表关联+导出,多电芯模组测试结果，类LIMS批次数据,,工程类、电池工程师,cn-all-remaining-0801-3012a7dc,
批次-样品-检验/QC记录(LIMS/MES),26,3/3,电机轴精加工线OEE异常诊断与MC30两日生产排程校核,生产工单/设备报警/终检记录,筛选+导出+跨表关联,MES工单、报警、检测记录均为多字段可查询表,,工程类、智能制造工程师,cn-all-remaining-0817-a25cf14a,
批次-样品-检验/QC记录(LIMS/MES),27,3/3,28 nm接触孔光刻关键尺寸、套刻与焦距—曝光工艺窗口联合评审及批次放行判定,晶圆批次量测记录,筛选+导出+跨表关联,批次/位点量测带质控标记，类似LIMS批次结果,,工程类、半导体工艺工程师,cn-all-remaining-0821-5446eadd,
批次-样品-检验/QC记录(LIMS/MES),28,3/3,DQL-217 CIA大鼠治疗性药效复核与确认性研究剂量推荐,动物给药与检测结果记录,筛选+导出+跨表关联,CRO动物研究数据，类LIMS批次结果,,医疗卫生、药企药理专员,cn-all-remaining-0833-4b7ceef4,
批次-样品-检验/QC记录(LIMS/MES),29,3/3,TRX-217 28天重复给药毒性数据质控、毒代重算与申办方综合评估,动物毒理检测记录,筛选+导出+跨表关联,CRO毒理动物数据，类LIMS批次结果,,医疗卫生、药物非临床安全性评价（,cn-all-remaining-0835-9f5c41bb,
批次-样品-检验/QC记录(LIMS/MES),30,3/3,多中心定量检测方法的精密度、Deming比对与实验室聚类Bootstrap评价,跨实验室检测结果记录,筛选+导出,实验室/方法/浓度/日期字段的LIMS式结果表,,科学类、统计学家,cn-all-remaining-0901-a1264e29,
批次-样品-检验/QC记录(LIMS/MES),31,3/3,LPBF Inconel 718粉末、熔池、孔隙、力学、疲劳与热处理组织联合评审及航空结构件工艺定型判定,批次样本检测结果,筛选+导出,批次/样本/工序字段的材料检测结果表,,科学类、材料科学研究人员,cn-all-remaining-0908-a1d40822,
批次-样品-检验/QC记录(LIMS/MES),32,3/3,车载摄像模组MTF、畸变、杂散光与热稳定量产准入判定,模组测试记录,筛选+导出,模组/测试站字段的光学检测结果表,,工程类—光学工程师,cn-all-remaining-0910-a483d04f,
批次-样品-检验/QC记录(LIMS/MES),33,3/3,冷藏熟制鸡胸肉气调包装货架期建模与包装方案筛选,样品清单及微生物/理化/感官检测结果,筛选+导出+跨表关联,72条样品清单按批次/处理关联检测结果，类LIMS,,科学类、食品科学研究人员,cn-all-remaining-0928-d694ced9,
批次-样品-检验/QC记录(LIMS/MES),34,3/3,低酸植物蛋白饮料UHT热力杀菌、无菌灌装、微生物挑战与加速货架期联合评审及量产放行判定,批次生产与QC检测记录（灌装/微生物/稳定性/包装/卫生）,筛选+导出+跨表关联,多批次样本检测结果按批号关联，类LIMS结构,,科学类、食品科学研究人员,cn-all-remaining-0929-cfedb11d,
批次-样品-检验/QC记录(LIMS/MES),35,3/3,汽车外板IF钢LF-RH精炼、钙处理与连铸洁净度/浇次放行审计,炉次/浇次工艺与检测记录,筛选+导出+跨表关联,炉次成分与遥测为MES/LIMS记录,,工程类、冶金工程师,cn-all-remaining-0938-0175cfde,
批次-样品-检验/QC记录(LIMS/MES),36,3/3,ADAS前视摄像头镜头模组MTF、杂散光、光谱与DV/PV量产冻结审计,镜头模组光学测试记录,筛选+详情展开+导出+跨表关联,按批次/模组分组的LIMS式记录,,工程类、光学工程师,cn-all-remaining-0941-29ec8b45,
批次-样品-检验/QC记录(LIMS/MES),37,3/3,冷藏即食食品CCP杀菌、冷链暴露、微生物风险与召回放行判定,批次CCP/冷链/检验记录,筛选+导出+跨表关联,批次结果记录，同LIMS结构,,食品与质量安全—食品安全工程师,cn-all-remaining-0942-65033b58,
批次-样品-检验/QC记录(LIMS/MES),38,3/3,植入式骨科接骨板疲劳寿命、加速老化与批次一致性联合评审及设计转移/上市放行判定,工程批可靠性试验记录,筛选+导出+跨表关联,按批次的试验结果类LIMS,,工程类、医疗器械可靠性工程师,cn-all-remaining-0946-f43aaf57,
