排除类别,一致度,任务名,依据,原文点名来源,custom_id
合成夹具,2/2,中空长航时固定翼无人机控制律设计要求编制,PUBLIC_CONTRACT+manifest现编设计基准材料,,cn-all-remaining-0470-3db56cb3
合成夹具,2/2,基于带噪数据的水下机器人垂向参数辨识与定深控,true_config/evaluator等现编控制夹具,,cn-all-remaining-0472-0ae1c4b2
合成夹具,2/2,相关性网络图与VIF雷达图组合图,无来源系统，孤立excel特征表出题,,cn-all-remaining-0489-dacccbb8
合成夹具,2/2,规则状态接口规范化实现与兼容验证,payloads/schema/output_contract三件套,,cn-all-remaining-0491-aa4d5cc1
合成夹具,2/2,服务层图片复制变更规则审查,change_set/rules/output_contract三件套,,cn-all-remaining-0492-97cc5e1a
合成夹具,2/2,干涉仪参数与不确定性反演,光栅观测数据为出题生成，绑定专属contract版本号,,cn-all-remaining-0510-d49cdf96
合成夹具,2/2,多事件绝对到时—全台对 TDOA 稳健联合定位与退化审计,阵列到时数据为出题生成，无真实台站/仪器来源,,cn-all-remaining-0511-fb2679a9
合成夹具,2/2,牛顿环曲率半径测量,牛顿环强度图为出题生成，绑定专属contract版本号,,cn-all-remaining-0512-6dc90b5b
合成夹具,2/2,离线高频名词提取与文档替换,records/rules/output_contract三件套，声明合成,,cn-all-remaining-0516-ba0a9cec
合成夹具,2/2,RAG 多路检索参数接入,records/rules/output_contract三件套，通用policy字段,,cn-all-remaining-0517-2782f9c8
合成夹具,2/2,工具钩子超时与停止响应修复,records/rules/output_contract三件套，通用hook_id字段,,cn-all-remaining-0519-5bc55e58
合成夹具,2/2,网络协议轨迹回放与混合流量验证,records/rules/output_contract三件套，合成十六进制帧,,cn-all-remaining-0520-ef6218a4
合成夹具,2/2,开发工具多配置档切换插件,records/rules/output_contract三件套，通用profile_id字段,,cn-all-remaining-0521-3123bf8c
合成夹具,2/2,ERP SQL 宏用户上下文与缓存治理,records/rules/output_contract三件套，通用cache_key字段,,cn-all-remaining-0522-9576dc11
合成夹具,2/2,调用边源证据对象优先报告,records/rules/output_contract三件套，通用evidence_id字段,,cn-all-remaining-0523-6e6f046e
合成夹具,2/2,BattlePass首次打开数据时序与冗余清理,原文明确称匿名、合成、可公开业务夹具,,cn-all-remaining-0526-5b9b4b49
合成夹具,2/2,表单结构加密与发布态缓存治理,原文明确称合成form payload夹具,,cn-all-remaining-0527-62c2bf93
合成夹具,2/2,发布申请补丁表单与类型字段联动,原文明确称匿名、合成业务夹具,,cn-all-remaining-0528-305959c2
合成夹具,2/2,会议房间共享面板交互补全,records/rules/output_contract三件套，声明synthetic,,cn-all-remaining-0567-73a84050
合成夹具,2/2,单页面分屏容器与本地主机路由,同上三件套夹具，声明synthetic wrapper,,cn-all-remaining-0568-b3b26f42
合成夹具,2/2,移动端飞行输入与摇杆冲突修复,同上三件套夹具，声明synthetic touches,,cn-all-remaining-0569-c3506d3d
合成夹具,2/2,首页模板移动端头部一致性,records/rules/output_contract三件套模板合同,,cn-all-remaining-0571-fb7a5b3f
合成夹具,2/2,图像素材批量低损导出,records+policy通用process接口，无实体软件,,cn-all-remaining-0573-4839dd74
合成夹具,2/2,KV 剪枝融合的性能与精度回归,records+policy三件套，纯计算回归合同,,cn-all-remaining-0574-b060150c
合成夹具,2/2,MassBattleKit 一万人规模能力收口,records+policy三件套，容量基准纯计算合同,,cn-all-remaining-0575-7854ceff
合成夹具,2/2,RTL 仿真回归失败收敛：状态迁移与终态校验,records/rules/output_contract三件套状态迁移,,cn-all-remaining-0579-dc07c355
合成夹具,2/2,折扣页面可编辑模式识别与分流：路由与权限接通核验,records/rules/output_contract三件套权限路由,,cn-all-remaining-0580-76602658
合成夹具,2/2,战斗伤害零值回归修复：字段投影与精确拒绝,records/rules/output_contract三件套伤害计算,,cn-all-remaining-0582-4188ca1d
合成夹具,2/2,静态路由确保与清理接口：事件生命周期一致性,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0583-17788e34
合成夹具,2/2,统一共享布局格与读写投影重构：路由与权限接通核验,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0584-e9203330
合成夹具,2/2,评测数据清单生成脚本：清单摘要与字节统计,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0585-7aeec106
合成夹具,2/2,发布包来源门禁扩展与摘录验证：依赖计划与阻断诊断,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0586-a05e26cb
合成夹具,2/2,递归见证生产者消费者边契约：字段投影与精确拒绝,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0587-8e9e5ec2
合成夹具,2/2,Agent 工作台能力矩阵：字段投影与精确拒绝,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0589-34113feb
合成夹具,2/2,受控提交路径与别名隔离规则完善：字段投影与精确拒绝,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0590-9647ec18
合成夹具,2/2,章节预览 Markdown 格式保真修复：路由与权限接通核验,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0592-858b62fe
合成夹具,2/2,因子数据集生成链路梳理：字段投影与精确拒绝,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0593-f9a3598c
合成夹具,2/2,绳体与绳头配色美术验收应用：路由与权限接通核验,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0595-3da51d53
合成夹具,2/2,桌面编辑器流式代理会话与工具进度：路由与权限接通核验,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0596-3cbe5e02
合成夹具,2/2,浮空岛地块加成与击退战斗系统：字段投影与精确拒绝,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0597-a89824be
合成夹具,2/2,文稿侧栏工具暴露与内容类型门禁：字段投影与精确拒绝,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0598-655c2894
合成夹具,2/2,自定义侧栏切换菜单与响应式显示：路由与权限接通核验,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0599-83c0cf1e
合成夹具,2/2,员工详情标签选择弹层：字段投影与精确拒绝,records/rules/output_contract三件套，字段无领域含义,,cn-all-remaining-0600-e18062ab
合成夹具,2/2,运行宿主组件落地：字段投影与精确拒绝,records/rules/output_contract三件套，字段为id/name/value通用名,,cn-all-remaining-0601-a91506be
合成夹具,2/2,表单资源解密与SQL宏缓存隔离：缓存与源值一致性核验,records/rules/output_contract三件套，policy驱动的通用拒绝矩阵,,cn-all-remaining-0602-6ec5492d
合成夹具,2/2,SIO 线程卡死修复：风险边界与处置分级,"records/rules/output_contract三件套，process_X(data,policy)通用签名",,cn-all-remaining-0603-966a0fae
合成夹具,2/2,数据表到Unity脚本的独立导出工具：字段投影与精确拒绝,records/rules/output_contract三件套，字段为id/name通用名,,cn-all-remaining-0604-15615a60
合成夹具,2/2,服务组件构造异常定位：时间窗口边界分类,records/rules/output_contract三件套，无具体系统字段,,cn-all-remaining-0605-8adc3d8f
合成夹具,2/2,本地视频目标检测工具升级：采样窗口与阈值判定,records/rules/output_contract三件套，明说合成视频占位模型,,cn-all-remaining-0607-f9396fd1
合成夹具,2/2,多供应商摄像头同步分层设计：采样窗口与阈值判定,records/rules/output_contract三件套，明说合成供应商重构,,cn-all-remaining-0609-f7beb4d8
合成夹具,2/2,结构化交接显式标记与审计链：风险边界与处置分级,records/rules/output_contract三件套，明说合成对话记录重建,,cn-all-remaining-0610-e98822a0
合成夹具,2/2,组件样式管理回归修复：字段投影与精确拒绝,records/rules/output_contract三件套，明说匿名组件库重建,,cn-all-remaining-0611-859ee5f2
合成夹具,2/2,多对手智能体联赛评测脚本：加权评分与缺项拒绝,records/rules/output_contract三件套，明说合成bot/params夹具,,cn-all-remaining-0612-989169dd
合成夹具,2/2,视频水印自适应缩放与横向摆动：采样窗口与阈值判定,records/rules/output_contract三件套，字段为id/name通用名,,cn-all-remaining-0613-5494b016
合成夹具,2/2,寄存器工作台架构审计与最小修复：路由与权限接通核验,records/rules/output_contract三件套，字段为id/name通用名,,cn-all-remaining-0614-72046a0a
合成夹具,2/2,低延迟视频播放器生命周期与缓冲治理：字段投影与精确拒绝,records/rules/output_contract三件套，字段为id/name通用名,,cn-all-remaining-0615-3b85ed21
合成夹具,2/2,推理剪枝性能优化验证：字段投影与精确拒绝,records/rules/output_contract三件套，明说小型合成模型重构,,cn-all-remaining-0617-b2d4b673
合成夹具,2/2,第三章剧情梗概与人物线修订：采样窗口与阈值判定,records/rules/output_contract三件套，明说虚构角色情节夹具,,cn-all-remaining-0619-2928718d
合成夹具,2/2,CrazyGames 云存档接入与发布门禁：版本字段差异与约束,"records+rules+contract三件套,匿名合成非真实平台",,cn-all-remaining-0620-e58676dc
合成夹具,2/2,设备与芯片映射增删改校验,"work_items+rules+contract三件套,合成业务数据",,cn-all-remaining-0621-c04fc018
合成夹具,2/2,会话分享与消息反馈：接口载荷适配验证,"work_items+rules+contract,声明不提供真实UI/服务",,cn-all-remaining-0623-d2bfa16f
合成夹具,2/2,Markdown 正文异常断行审计,"records+rules+contract三件套,合成审计任务",,cn-all-remaining-0624-0d5850a4
合成夹具,2/2,设备通信架构文档裁剪与一致性审计,"records+rules+contract三件套,合成架构数据",,cn-all-remaining-0625-c4a941f4
合成夹具,2/2,文档修订缺失材料短路与证据选择,"records+rules+contract三件套,合成文档数据",,cn-all-remaining-0626-bcc9f2e4
合成夹具,2/2,径向折线图,"仅data.xlsx裸文件绘图,无命名来源系统",,cn-all-remaining-0627-1a5d9548
合成夹具,2/2,回归模型性能综合对比分析图,"仅data.xlsx裸文件建模绘图,无命名来源",,cn-all-remaining-0628-3c1ec98a
合成夹具,2/2,径向花瓣图,"仅data.xlsx裸文件绘图,无命名来源系统",,cn-all-remaining-0634-24ab0d4d
合成夹具,2/2,梯度提升回归模型性能综合诊断图,"仅data.xlsx裸文件建模绘图,无命名来源",,cn-all-remaining-0637-af7e9678
合成夹具,2/2,RDA冗余分析排序图,"仅data.xlsx裸文件做RDA绘图,无来源系统",,cn-all-remaining-0646-cc7e1cbd
合成夹具,2/2,XGBoost多分类模型综合性能评估与SHAP可解释性分析组合图,data.xlsx无任何仓库或来源线索,,cn-all-remaining-0647-88d372e4
合成夹具,2/2,配对云雨图,萼片测量表无仓库线索，裸文件,,cn-all-remaining-0653-d8ed86b4
合成夹具,2/2,超硬材料逆向设计论文的证据化审稿回复与修订矩阵编制,reviewer comments+schema+contract三件套,,cn-all-remaining-0657-35acc768
合成夹具,2/2,材料计算论文返修包的回复信—正文—补充材料跨文档一致性审计,AUDIT_RULES+schema受控审计样本,,cn-all-remaining-0659-ed12deb7
合成夹具,2/2,纵向倾斜椭圆柱储罐的几何标定与观测校核,problem_spec+CSV+contract三件套,,cn-all-remaining-0660-e4cfd781
合成夹具,2/2,组合储罐变位识别、全量标定与稳健性校核,geometry.json+CSV+contract三件套,,cn-all-remaining-0661-154126e9
合成夹具,2/2,双设施输送管线的独立接入与共用汇合布局优化,benchmark_cases.csv+MODEL_CONTRACT,,cn-all-remaining-0662-33d1dec2
合成夹具,2/2,城乡分区附加费约束下的输送管线布局优化,PARAMETERS.json+MODEL_CONTRACT构造,,cn-all-remaining-0663-6d22379c
合成夹具,2/2,差异化管径费用下共用管线价值与长期方案决策,原题+参数+contract构造材料,,cn-all-remaining-0664-32d114f1
合成夹具,2/2,匿名学生居住单元平面方案的量测与指标化评估,作者自绘SVG，非真实建筑图纸,,cn-all-remaining-0665-5c6ed6d2
合成夹具,2/2,匿名居住方案评价体系的 AHP 权重与一致性稳健性分析,作者构造判断矩阵，非真实专家,,cn-all-remaining-0666-726b573f
合成夹具,3/3,匿名居住方案的 AHP—优属度综合排序与稳健性评估,AHP矩阵+contract为人造评测夹具,,cn-all-remaining-0667-a43c9a79
合成夹具,2/3,多模型SHAP环形特征变异组合图,"无命名裸数据,系人造ML夹具",,cn-all-remaining-0668-030aa2e3
合成夹具,3/3,注塑壳体量具R&R、SPC与外观缺陷联合评审及供应商放行判定,"声明脱敏样本,系人造质量夹具",,cn-all-remaining-0677-42a50188
合成夹具,3/3,精密阀芯外径测量系统分析、控制图与过程能力量产放行评估,"声明脱敏工程样本,系人造MSA夹具",,cn-all-remaining-0683-84d392a1
合成夹具,3/3,散热风扇加速寿命、任务剖面与现场可靠性联合评审及量产放行判定,"声明脱敏样本,系人造ALT可靠性夹具",,cn-all-remaining-0687-72a573b9
合成夹具,3/3,新能源汽车高压连接器多应力加速寿命、竞争失效与量产放行判定,"明确声明教学测试夹具,非真实数据",,cn-all-remaining-0691-ec498c7c
合成夹具,2/3,订单履约平台服务化架构评审底盘修订与渐进式迁移设计,架构评审底盘按AR编号规则拟造，非真实系统,,cn-all-remaining-0699-212ce97c
合成夹具,2/2,固定投放条件下的三维烟幕遮蔽判定与时长校核,评测新构造的固定场景JSON+契约文件包,,cn-all-remaining-0748-1d1d2516
合成夹具,2/2,多面板季节性敏感性环形柱状图,为复现指定图表现编的xlsx数据,,cn-all-remaining-0772-9f833be7
合成夹具,2/2,第三人称战术射击 NPC 小队决策回放回归与掩体分配,游戏引擎内部回放切片为定制数据,,cn-all-remaining-0788-cfee0a30
合成夹具,2/2,5G工业专网覆盖容量、PCI/邻区优化与发布准入,明确声明程序化教学测试夹具,,cn-all-remaining-0809-17f86072
合成夹具,2/2,智能仓储AMR多传感器定位、交通死锁、充电调度与安全发布准入,明确声明教学算法测试夹具非真实,,cn-all-remaining-0812-90c48c8d
合成夹具,2/2,DP2海上风电运维船动力定位故障重构、推力分配与作业准入判定,"明示教学夹具,声明数据非真实船舶",,cn-all-remaining-0819-92642430
合成夹具,2/2,工业制冷液氨系统泄漏事件重构、SIS/LOPA验证与复产准入判定,"明示SIS/LOPA夹具,声明非真实装置",,cn-all-remaining-0829-bd2480e9
合成夹具,2/2,工业制冷液氨系统泄漏事件重构、SIS/LOPA验证与复产准入判定,"明示SIS/LOPA夹具,声明非真实装置",,cn-all-remaining-0831-8de50919
合成夹具,3/3,协作射击游戏同伴 Utility AI 决策器回归修复与离线回放评测,回放重构的匿名决策快照，出题夹具,,cn-all-remaining-0846-c0c542fb
合成夹具,3/3,第三人称战术射击 NPC 小队决策回放回归与掩体分配,匿名化重构的战斗决策切片夹具,,cn-all-remaining-0852-006b49eb
合成夹具,2/2,城乡差异时间序列趋势对比图（DID分析）,"simulated_data明示合成表格,无仓库线索",,cn-all-remaining-0913-2494d698
合成夹具,2/2,航空发动机热端叶片无损检测、裂纹寿命与装机放行判定,夹具数据且声明不代表真实发动机,,cn-all-remaining-0916-99ed2233
合成夹具,2/2,仓储货架 WebAR 位姿稳定、状态管理与离线回放算法实现评测,"场景生成可重复回放序列,非真实日志",,cn-all-remaining-0918-4723f3b6
合成夹具,2/2,城市轨道交通CBTC多源定位、制动防护、联锁冲突与运营发布准入判定,夹具数据且声明不代表真实线路,,cn-all-remaining-0920-d3ea6ee1
合成夹具,2/2,海上风电场多源气象同化、阵风爬坡预测与调度发布准入判定,夹具数据且声明不代表真实风场,,cn-all-remaining-0921-befeee11
合成夹具,2/2,固态电解质阻抗谱、锂枝晶寿命与配方放大准入判定,"样品几何密度夹具数据,配方放大用",,cn-all-remaining-0922-76ab0a78
合成夹具,2/2,露天矿边坡多源监测、失稳预测与采场作业准入判定,夹具数据且声明不代表真实矿山,,cn-all-remaining-0923-15b15695
合成夹具,2/2,连栋玻璃温室环境控制、灌溉施肥、病害风险与采收准入判定,"环境灌溉夹具数据,非真实农场",,cn-all-remaining-0924-4456a733
合成夹具,3/3,结构力学核验与发布封板审计,匿名化核验系统rc构建的脱敏评测样本账单,,cn-all-remaining-0980-6a4254c5
合成夹具,3/3,建筑热工传热核验与发布封板审计,匿名化核验系统rc构建的脱敏评测样本账单,,cn-all-remaining-0981-628b31f9
合成夹具,3/3,建筑热工传热分析核验与发布封板复核,匿名化核验系统rc构建的脱敏评测样本账单,,cn-all-remaining-0982-97178bfe
合成夹具,3/3,岩土工程核验与发布封板复核,匿名化核验系统rc构建的脱敏评测样本账单,,cn-all-remaining-0983-73dcdfda
合成夹具,3/3,材料力学分析核验与发布封板复核,匿名化核验系统rc构建的脱敏评测样本账单,,cn-all-remaining-0984-e729d438
合成夹具,2/3,半圆形径向小提琴图,裸xlsx表格数据无来源系统线索,,cn-all-remaining-0986-6e952e64
合成夹具,2/3,随机森林特征重要性排序与相关性热力图组合图,裸region_data表格数据无来源系统线索,,cn-all-remaining-0988-a20bde35
合成夹具,2/3,环形热图与韦恩图组合图,纯Excel表格配图任务，无命名来源系统,,cn-all-remaining-1001-4e972668
合成夹具,3/3,小提琴图与相关性矩阵组合图,残差表变量无领域字段名，疑出题合成数据,,cn-all-remaining-1002-a2020f5d
合成夹具,2/2,多租户数据交换平台Kubernetes RBAC、网络隔离与生产上线安全门禁审计,冻结匿名化审计证据，字段generic,,cn-all-remaining-1100-804b4868
合成夹具,2/2,工业伺服驱动器冷却风扇加速寿命Weibull可靠性评估与量产门槛核验,原文明示脱敏评测工程样本数据,,cn-all-remaining-1102-75cdeb82
合成夹具,2/2,研发办公楼地下室及首层结构工程量清单与招标控制价复核,原文明示脱敏评测工程样本数据,,cn-all-remaining-1105-66d3d053
合成夹具,2/2,战斗结算规则核验与自动化回归练习,role_id/skill_id/case_id等通用字段，明示合成样本,,cn-all-remaining-1133-fd7fd7e8
合成夹具,2/2,手游活动奖励与经济闭环规则核验练习,record_id/request_id通用字段，明示合成基准,,cn-all-remaining-1134-4eeef84f
合成夹具,2/2,限时卡池结算基准样本与回归框架验证,RNG测试向量+配置，明示合成基准样本,,cn-all-remaining-1136-b1a3b3ca
合成夹具,2/2,空气传播塑料圈特征与行星健康威胁关联图,节点关系表无命名系统，为绘图现编,,cn-all-remaining-1138-79d89db6
合成夹具,2/2,环形柱状图,处理后均值/误差/显著性表，无命名系统,,cn-all-remaining-1141-513f5d89
合成夹具,2/2,睡眠特征与脑区关联环形热图,脑区Z分数关联表，无命名系统,,cn-all-remaining-1142-d9c9c6a5
合成夹具,2/2,多面板哑铃图,多配色方案模板+虚构Feature表，无来源系统,,cn-all-remaining-1153-b114d9d2
合成夹具,2/2,半环形多变量组合图,半环图模板配虚构农户表，无来源系统,,cn-all-remaining-1154-a4e657f2
合成夹具,2/2,相关性热图与特征重要性组合图,Creep life虚构特征表，仅为训练画图,,cn-all-remaining-1155-8bbddd06
合成夹具,2/2,三角洲区域地面沉降与全球海平面上升对比组合图,Delta_Data虚构统计量表，无查询系统,,cn-all-remaining-1156-7d53487b
合成夹具,2/2,基于SHAP的随机森林特征空间贡献分布图,人口密度特征虚构，shapefile仅作底图,,cn-all-remaining-1157-9b5ebe33
合成夹具,2/2,SHAP蜂群图与条形图+相对贡献3D饼图组合图,多工作表虚构目标变量，SHAP画图模板,,cn-all-remaining-1158-3aa32639
合成夹具,2/2,分组相关性矩阵图,文件名mock_data已声明为虚构数据,,cn-all-remaining-1159-4a4c6ea6
合成夹具,2/2,CatBoost多分类SHAP蜂群图与贡献玫瑰图组合图,训练/验证集虚构多分类特征，无来源,,cn-all-remaining-1160-ef830f6d
合成夹具,2/2,非线性交互作用 SHAP 依赖图组合图,NPP_Target虚构特征表，SHAP画图模板,,cn-all-remaining-1178-999d39af
合成夹具,2/2,XGBoost 全局 SHAP 解释组合图,data.xlsx为出题合成数据，无命名来源系统,,cn-all-remaining-1181-c84e0e6e
